anio;producto;produccion_local;importado;exportado;oferta_bruta;importado_pcnt;exportado_pcnt
2016;Gas Natural de Pozo;39556.8468228864;4786.80339;0;44343.6502128864;10.794788807;0
2016;Petroleo;26439.7874935081;790.44893341;-2332.12198598;27230.2364269181;2.902835367;8.8205020049901
2015;Gas Natural de Pozo;37786.4519905975;4956.97165;-0.4759344;42743.4236405975;11.597039329;0.001259537148707
2015;Petroleo;27495.684183881;837.14735;-1877.860647493;28332.831533881;2.954690035;6.82965601050172
2014;Gas Natural de Pozo;36567.2709768096;4897;-7.0709022;41464.2709768096;11.810167850;0.019336696480534
2014;Petroleo;27484.278913002;487.72979;-1897.96594;27972.008703002;1.743635200;6.90564211638141
2013;Gas Natural de Pozo;36781.9343148568;4722.7;-20.6928;41504.6343148568;11.378729335;0.056258052724655
2013;Petroleo;27886.312873659;374.9037424;-1943.0845167;28261.216616059;1.326566183;6.96787892147409
2012;Gas Natural de Pozo;38895.27945;4843.05;-37.0746;43738.32945;11.072782296;0.095319022061943
2012;Petroleo;28452.054463067;220.60074801;-3102.2281262;28672.655211077;0.769376768;10.9033536760129
2011;Gas Natural de Pozo;40134.5519115648;2808.72;-65.5272;42943.2719115648;6.540535630;0.163268796782351
2011;Petroleo;28583.130394186;0;-3074.07030709;28583.130394186;0.000000000;10.754841281189
2010;Gas Natural de Pozo;41500.9610395484;1826.83;-132.95124;43327.7910395484;4.216300799;0.320357015041902
2010;Petroleo;30437.321711954;0;-4727.49038728;30437.321711954;0.000000000;15.5318869117953
2009;Gas Natural de Pozo;42626.041710292;1405.937;-249.5663766;44031.978710292;3.192990734;0.585478657146208
2009;Petroleo;31178.511179281;0;-4704.94798935;31178.511179281;0.000000000;15.090354899552
2008;Gas Natural de Pozo;44388.1357917562;745.34;-114.000084;45133.4757917562;1.651412808;0.256825572794549
2008;Petroleo;32409.8177780336;4.3343;-2843.15305822;32414.1520780336;0.013371629;8.77250553425513
2007;Gas Natural de Pozo;44733.1180876769;1412.494;-664.122483;46145.6120876769;3.060949755;1.48463266454693
2007;Petroleo;32774.414203487;40.43893;-2938.044237;32814.853133487;0.123233616;8.96444469993733
2006;Gas Natural de Pozo;44528.9864803798;1514.501;-2156.9122836;46043.4874803798;3.289283855;4.84383870841159
2006;Petroleo;33147.27386037;79.7173;-4520.77102;33226.99116037;0.239917300;13.6384398881288
