anio;categoria_derivados;producto;produccion_local;importado;exportado;oferta_bruta;importado_pcnt;exportado_pcnt
2016;gas;Gas Distribuido por Redes;34421.50709;4356.69407;-50.41752;38778.20116;11.234905023;0.146470983586442
2016;gas;Gas de Refinería ;1234.06915;0;0;1234.06915;0.000000000;0
2016;gas;Gas Licuado ;2864.554;0;-967.3752;2864.554;0.000000000;33.7705346102744
2016;petroleo;Gasolina Natural;946.153804086399;0;-213.304;946.153804086399;0.000000000;22.5443262056073
2016;petroleo;Otras Naftas;810.496988;76.8406084;-502.227788;887.3375964;8.659681356;61.9654107832415
2016;petroleo;Motonafta Total ;6333.7788576;185.185824;0;6518.9646816;2.840724456;0
2016;petroleo;Kerosene y Aerokerosene ;1377.6042;127.2264;-973.19720316;1504.8306;8.454533022;70.6441809018875
2016;petroleo;Diesel Oil + Gas Oil;9848.6265;3603.3085608;-74.9902176;13451.9350608;26.786544423;0.761428180873749
2016;petroleo;Fuel Oil ;3844.42926;0;-640.48586;3844.42926;0.000000000;16.6601026233996
2015;gas;Gas Distribuido por Redes;33615.5955390468;4603.54437;-72.96779;38219.1399090468;12.045128124;0.217065290172364
2015;gas;Gas de Refinería ;1274.54873129625;0;0;1274.54873129625;0.000000000;0
2015;gas;Gas Licuado ;2841.391421;0;-940.097279;2841.391421;0.000000000;33.085806906151
2015;petroleo;Gasolina Natural;1009.548426432;0;-254.163715624;1009.548426432;0.000000000;25.17598056413
2015;petroleo;Otras Naftas;960.56134459698;27.8258056;-666.1866434512;988.38715019698;2.815273913;69.3538884526642
2015;petroleo;Motonafta Total ;6250.03914619296;11.2657464;0;6261.30489259296;0.179926494;0
2015;petroleo;Kerosene y Aerokerosene ;1381.803486;92.91324;-939.79242084;1474.716726;6.300412707;68.0120169301701
2015;petroleo;Diesel Oil + Gas Oil;10160.4783170834;3337.0803608736;-100.08360436752;13497.558677957;24.723584764;0.985028472520268
2015;petroleo;Fuel Oil ;4513.75187284;0;-824.7724786;4513.75187284;0.000000000;18.2724372503237
2014;gas;Gas Distribuido por Redes;31885.21526;5481.32;-45.65;37366.53526;14.669061399;0.143169803395582
2014;gas;Gas de Refinería ;1148.5194418;0;0;1148.5194418;0.000000000;0
2014;gas;Gas Licuado ;2882;0;-961.4;2882;0.000000000;33.3587786259542
2014;petroleo;Gasolina Natural;1190.4565768096;0;-242.7115715752;1190.4565768096;0.000000000;20.3881079161797
2014;petroleo;Otras Naftas;1040.32623569152;18.0571688152;-716.3751329896;1058.38340450672;1.706108461;68.860623563282
2014;petroleo;Motonafta Total ;5469.4050435096;337.4056063416;0;5806.8106498512;5.810515043;0
2014;petroleo;Kerosene y Aerokerosene ;1366.34425704;63.6384;-924.598523394;1429.98265704;4.450291735;67.6695143723894
2014;petroleo;Diesel Oil + Gas Oil;9610.3546843848;3234.8189808264;-261.277503192;12845.1736652112;25.183147111;2.71870822433361
2014;petroleo;Fuel Oil ;4500.73662416;541.46212064;-1566.3434668;5042.1987448;10.738611230;34.8019357185189
2013;gas;Gas Distribuido por Redes;32701.68543;4740.13;-46.978;37441.81543;12.659989762;0.143656204205619
2013;gas;Gas de Refinería ;1226.0883742;0;0;1226.0883742;0.000000000;0
2013;gas;Gas Licuado ;2891.540707;0;-893.161973;2891.540707;0.000000000;30.8887912536657
2013;petroleo;Gasolina Natural;1041.4948748568;0;-246.5138658528;1041.4948748568;0.000000000;23.669234655302
2013;petroleo;Otras Naftas;861.627523583441;8.897260944;-706.8749586736;870.524784527441;1.022057166;82.0395053925115
2013;petroleo;Motonafta Total ;5716.4696221104;284.4950319072;-10.6550208;6000.9646540176;4.740821656;0.186391628126354
2013;petroleo;Kerosene y Aerokerosene ;1424.93951544;48.888;-933.34835958;1473.82751544;3.317077439;65.5009107029919
2013;petroleo;Diesel Oil + Gas Oil;9705.84170970408;4278.9653138112;-298.64356490424;13984.8070235153;30.597242469;3.07694658368115
2013;petroleo;Fuel Oil ;4172.307575212;608.69466;-1798.92681094;4781.002235212;12.731528455;43.1158724162035
2012;gas;Gas Distribuido por Redes;34350.12104;2694.18;-52.788;37044.30104;7.272859588;0.153676314381919
2012;gas;Gas de Refinería ;1187.02753124;0;0;1187.02753124;0.000000000;0
2012;gas;Gas Licuado ;2989.596654;0;-1010.563125;2989.596654;0.000000000;33.802657748091
2012;petroleo;Gasolina Natural;1238.02325;0;-272.0759108704;1238.02325;0.000000000;21.9766398466588
2012;petroleo;Otras Naftas;1283.56773786288;53.4102289888;-1093.355710802;1336.97796685168;3.994847358;85.1809903404412
2012;petroleo;Motonafta Total ;5485.3645767216;39.7850544;0;5525.1496311216;0.720071981;0
2012;petroleo;Kerosene y Aerokerosene ;1433.1991926;34.37448;-932.90326584;1467.5736726;2.342266057;65.0923661314376
2012;petroleo;Diesel Oil + Gas Oil;10036.3790908769;2655.7974442992;-238.31441174064;12692.1765351761;20.924680940;2.37450588088356
2012;petroleo;Fuel Oil ;3825.812325832;1156.17264;-1558.74138728;4981.984965832;23.207068025;40.7427561659345
2011;gas;Gas Distribuido por Redes;32167.80619;2864.33;-103.501;35032.13619;8.176292717;0.32175336853458
2011;gas;Gas de Refinería ;1010.27347425;0;0;1010.27347425;0.000000000;0
2011;gas;Gas Licuado ;3223.855239;0;-1416.928249;3223.855239;0.000000000;43.9513608383829
2011;petroleo;Gasolina Natural;1105.6731515648;0;-278.4879699784;1105.6731515648;0.000000000;25.1871875141647
2011;petroleo;Otras Naftas;1378.16690968608;60.3203223488;-1289.5991603052;1438.48723203488;4.193316493;93.5735106714285
2011;petroleo;Motonafta Total ;5148.4567372848;107.4432398184;-0.984680472;5255.8999771032;2.044240573;0.019125740435362
2011;petroleo;Kerosene y Aerokerosene ;1376.32259352;86.7319404;-923.29585614;1463.05453392;5.928141323;67.084262111736
2011;petroleo;Diesel Oil + Gas Oil;10159.5635056152;3718.5433027728;-185.2918825584;13878.106808388;26.794312467;1.82381735648376
2011;petroleo;Fuel Oil ;3216.787675136;1429.4917392;-1192.7798246;4646.279414336;30.766374807;37.0798431559388
2010;gas;Gas Distribuido por Redes;32410.85094;1152.704;-258.545;33563.55494;3.434391864;0.797711237136682
2010;gas;Gas de Refinería ;943.72191204;0;0;943.72191204;0.000000000;0
2010;gas;Gas Licuado ;3729.409145;0;-1433.916935;3729.409145;0.000000000;38.448903814226
2010;petroleo;Gasolina Natural;1300.8527012664;0;-311.783224116;1300.8527012664;0.000000000;23.9676040040871
2010;petroleo;Otras Naftas;2025.2817580588;30.8916228028;-1450.0049049572;2056.1733808616;1.502384142;71.5952187485758
2010;petroleo;Motonafta Total ;4620.0526355256;105.3512928;-13.400979816;4725.4039283256;2.229466399;0.290061193523078
2010;petroleo;Kerosene y Aerokerosene ;1427.015492028;35.9681448;-921.141654342;1462.983636828;2.458547307;64.5502210373989
2010;petroleo;Diesel Oil + Gas Oil;10241.835643229;2645.9509020096;-194.3804072616;12887.7865452386;20.530685333;1.89790594218436
2010;petroleo;Fuel Oil ;3503.757533024;652.73978;-1555.38932864;4156.497313024;15.704082809;44.3920366629247
2009;gas;Gas Distribuido por Redes;32858.4052;648.23;-509.869;33506.6352;1.934631741;1.5517156018272
2009;gas;Gas de Refinería ;1012.77642449174;0;0;1012.77642449174;0.000000000;0
2009;gas;Gas Licuado ;3310.788866;0;-1693.165881;3310.788866;0.000000000;51.1408594606528
2009;petroleo;Gasolina Natural;1327.314960872;0;-190.1724188;1327.314960872;0.000000000;14.327603048719
2009;petroleo;Otras Naftas;2076.3242293725;67.4480702364;-1844.5690591032;2143.7722996089;3.146232939;88.8381994010954
2009;petroleo;Motonafta Total ;4521.609901512;0;-60.4333541544;4521.609901512;0.000000000;1.33654506847642
2009;petroleo;Kerosene y Aerokerosene ;1320.22422672;18.7538694;-808.582867092;1338.97809612;1.400610619;61.2458740513242
2009;petroleo;Diesel Oil + Gas Oil;10320.0907209336;1665.9446980447;-216.7748947536;11986.0354189783;13.899047014;2.10051346073816
2009;petroleo;Fuel Oil ;3154.55299642;694.66712;-1469.4330602;3849.22011642;18.046957539;46.5813401096007
2008;gas;Gas Distribuido por Redes;34889.80779;375.99;-696.536;35265.79779;1.066160483;1.99638818359911
2008;gas;Gas de Refinería ;1006.81422549427;0;0;1006.81422549427;0.000000000;0
2008;gas;Gas Licuado ;3370.680159;0;-1718.936175;3370.680159;0.000000000;50.9967156156984
2008;petroleo;Gasolina Natural;1457.27015159481;0;-207.45809032;1457.27015159481;0.000000000;14.2360762754224
2008;petroleo;Otras Naftas;2372.7164108828;19.4424858892;-2124.8579023868;2392.158896772;0.812758965;89.5538081433094
2008;petroleo;Motonafta Total ;4393.869055152;38.8510408656;-51.546975912;4432.7200960176;0.876460503;1.17315685253658
2008;petroleo;Kerosene y Aerokerosene ;1257.70628844;12.57564;-829.4879502;1270.28192844;0.989988106;65.9524372124161
2008;petroleo;Diesel Oil + Gas Oil;10745.819471712;1839.89970444437;-238.0872600336;12585.7191761564;14.618947703;2.21562683665361
