cuenca;anio;produccion_petroleo;produccion_gas
AUSTRAL;1999;4,723,917;8,406,767
AUSTRAL;2000;3,881,136;9,011,698
AUSTRAL;2001;4,008,508;8,972,981
AUSTRAL;2002;3,376,451;8,835,716
AUSTRAL;2003;2,935,073;9,011,306
AUSTRAL;2004;2,656,956;9,135,207
AUSTRAL;2005;2,338,484;9,660,327
AUSTRAL;2006;2,303,977;10,210,424
AUSTRAL;2007;1,826,903;9,270,829
AUSTRAL;2008;1,964,621;9,119,486
AUSTRAL;2009;2,107,202;9,917,585
AUSTRAL;2010;1,939,057;10,435,711
AUSTRAL;2011;1,804,475;10,818,359
AUSTRAL;2012;1,904,973;11,135,404
AUSTRAL;2013;1,767,278;10,513,837
AUSTRAL;2014;1,654,046;10,015,263
AUSTRAL;2015;1,536,691;9,653,502
AUSTRAL;2016;1,448,487;10,591,925
AUSTRAL;2017;1,270,054;10,681,723
AUSTRAL;2018;1,459,878;11,521,125
CUYANA;1999;2,659,489;78,773
CUYANA;2000;2,405,211;75,351
CUYANA;2001;2,586,160;75,486
CUYANA;2002;2,839,595;194,593
CUYANA;2003;2,645,169;81,315
CUYANA;2004;2,373,699;64,368
CUYANA;2005;2,273,682;64,412
CUYANA;2006;2,194,486;61,918
CUYANA;2007;2,103,896;58,403
CUYANA;2008;2,018,206;57,686
CUYANA;2009;1,914,795;59,516
CUYANA;2010;1,882,904;59,173
CUYANA;2011;1,871,769;61,403
CUYANA;2012;1,816,417;58,284
CUYANA;2013;1,753,229;58,121
CUYANA;2014;1,701,693;56,391
CUYANA;2015;1,614,280;54,040
CUYANA;2016;1,581,676;51,298
CUYANA;2017;1,505,397;48,414
CUYANA;2018;1,404,298;48,964
GOLFO SAN JORGE;1999;14,194,013;2,531,407
GOLFO SAN JORGE;2000;13,804,252;2,820,268
GOLFO SAN JORGE;2001;15,221,825;5,177,654
GOLFO SAN JORGE;2002;15,632,382;3,777,672
GOLFO SAN JORGE;2003;16,270,039;3,538,279
GOLFO SAN JORGE;2004;16,436,761;3,783,403
GOLFO SAN JORGE;2005;16,505,833;4,249,454
GOLFO SAN JORGE;2006;16,734,899;4,565,435
GOLFO SAN JORGE;2007;16,138,826;4,889,201
GOLFO SAN JORGE;2008;15,383,414;4,956,993
GOLFO SAN JORGE;2009;15,914,545;5,191,358
GOLFO SAN JORGE;2010;15,868,202;5,230,835
GOLFO SAN JORGE;2011;14,786,525;4,879,907
GOLFO SAN JORGE;2012;15,262,564;5,219,453
GOLFO SAN JORGE;2013;15,133,166;5,234,116
GOLFO SAN JORGE;2014;15,215,428;5,301,877
GOLFO SAN JORGE;2015;15,350,793;5,715,245
GOLFO SAN JORGE;2016;14,588,582;5,703,558
GOLFO SAN JORGE;2017;13,507,679;5,348,235
GOLFO SAN JORGE;2018;13,564,277;4,948,074
NEUQUINA;1999;22,884,492;23,525,111
NEUQUINA;2000;22,028,372;26,251,309
NEUQUINA;2001;21,600,907;25,989,634
NEUQUINA;2002;20,951,913;25,763,517
NEUQUINA;2003;20,001,263;29,885,194
NEUQUINA;2004;17,952,039;31,708,425
NEUQUINA;2005;16,538,314;30,197,250
NEUQUINA;2006;16,266,501;29,759,750
NEUQUINA;2007;16,958,754;29,925,194
NEUQUINA;2008;17,346,449;29,473,807
NEUQUINA;2009;15,495,552;26,970,412
NEUQUINA;2010;15,002,583;25,978,767
NEUQUINA;2011;14,233,198;25,159,268
NEUQUINA;2012;13,543,911;23,857,753
NEUQUINA;2013;13,264,860;22,642,016
NEUQUINA;2014;12,906,054;23,217,219
NEUQUINA;2015;12,984,135;24,630,343
NEUQUINA;2016;12,687,039;25,969,804
NEUQUINA;2017;12,161,557;26,177,450
NEUQUINA;2018;12,688,978;28,394,026
NOROESTE;1999;1,166,461;6,206,961
NOROESTE;2000;1,169,794;7,052,938
NOROESTE;2001;1,199,592;7,822,812
NOROESTE;2002;1,160,240;7,885,602
NOROESTE;2003;1,105,510;8,431,648
NOROESTE;2004;1,013,492;7,465,585
NOROESTE;2005;916,154;7,107,158
NOROESTE;2006;846,471;7,048,243
NOROESTE;2007;872,825;6,827,505
NOROESTE;2008;868,661;6,880,214
NOROESTE;2009;807,847;6,280,379
NOROESTE;2010;720,670;5,403,097
NOROESTE;2011;630,312;4,608,616
NOROESTE;2012;611,655;3,852,801
NOROESTE;2013;542,558;3,260,199
NOROESTE;2014;501,035;2,893,276
NOROESTE;2015;506,091;2,852,403
NOROESTE;2016;462,610;2,671,244
NOROESTE;2017;417,784;2,400,836
NOROESTE;2018;355,110;2,108,993
CUYANA Y BOLSONES;2006;0;4
CUYANA Y BOLSONES;2007;3,363;20
CUYANA Y BOLSONES;2008;11,595;70
