cuenca;anio;produccion_petroleo;produccion_gas
AUSTRAL;1999;1,267,020;1,845,013
AUSTRAL;2000;997,619;2,144,874
AUSTRAL;2001;989,692;2,106,875
AUSTRAL;2002;882,017;2,088,152
AUSTRAL;2003;740,789;2,076,026
AUSTRAL;2004;653,877;2,250,900
AUSTRAL;2005;619,901;2,222,723
AUSTRAL;2006;534,873;2,454,455
AUSTRAL;2007;471,182;2,264,298
AUSTRAL;2008;458,012;2,132,062
AUSTRAL;2009;521,978;2,271,951
AUSTRAL;2010;510,678;2,471,278
AUSTRAL;2011;429,258;2,378,835
AUSTRAL;2012;476,311;2,654,974
AUSTRAL;2013;448,449;2,576,250
AUSTRAL;2014;422,981;2,558,683
AUSTRAL;2015;395,609;2,392,807
AUSTRAL;2016;374,447;2,484,323
AUSTRAL;2017;305,263;2,478,600
AUSTRAL;2018;325,238;2,757,978
AUSTRAL;2019;393,355;3,105,329
CUYANA;1999;676,315;20,175
CUYANA;2000;637,215;19,758
CUYANA;2001;600,554;20,631
CUYANA;2002;674,238;19,450
CUYANA;2003;668,046;20,975
CUYANA;2004;607,329;16,635
CUYANA;2005;559,920;16,131
CUYANA;2006;550,887;14,594
CUYANA;2007;532,633;15,181
CUYANA;2008;499,432;13,668
CUYANA;2009;491,427;15,284
CUYANA;2010;467,347;14,762
CUYANA;2011;464,674;15,221
CUYANA;2012;450,689;14,814
CUYANA;2013;442,413;14,627
CUYANA;2014;423,259;13,843
CUYANA;2015;396,963;13,490
CUYANA;2016;396,640;13,237
CUYANA;2017;377,861;12,307
CUYANA;2018;354,741;12,741
CUYANA;2019;336,708;11,780
GOLFO SAN JORGE;1999;3,797,170;635,177
GOLFO SAN JORGE;2000;3,385,407;647,448
GOLFO SAN JORGE;2001;3,653,684;1,819,315
GOLFO SAN JORGE;2002;3,933,161;765,717
GOLFO SAN JORGE;2003;3,916,219;801,264
GOLFO SAN JORGE;2004;4,030,508;867,016
GOLFO SAN JORGE;2005;4,146,846;955,065
GOLFO SAN JORGE;2006;4,049,036;1,040,206
GOLFO SAN JORGE;2007;4,088,585;1,176,061
GOLFO SAN JORGE;2008;4,047,761;1,263,137
GOLFO SAN JORGE;2009;4,057,493;1,292,063
GOLFO SAN JORGE;2010;4,041,034;1,288,073
GOLFO SAN JORGE;2011;3,959,568;1,260,316
GOLFO SAN JORGE;2012;3,919,694;1,322,498
GOLFO SAN JORGE;2013;3,670,623;1,261,936
GOLFO SAN JORGE;2014;3,774,729;1,298,756
GOLFO SAN JORGE;2015;3,785,757;1,374,816
GOLFO SAN JORGE;2016;3,732,983;1,437,501
GOLFO SAN JORGE;2017;3,486,295;1,358,754
GOLFO SAN JORGE;2018;3,379,157;1,263,765
GOLFO SAN JORGE;2019;3,349,401;1,190,060
NEUQUINA;1999;5,733,345;5,530,649
NEUQUINA;2000;5,536,533;5,978,101
NEUQUINA;2001;5,117,898;5,877,627
NEUQUINA;2002;5,145,077;5,861,680
NEUQUINA;2003;5,010,020;6,039,374
NEUQUINA;2004;4,537,028;7,485,776
NEUQUINA;2005;4,144,021;7,167,861
NEUQUINA;2006;3,904,108;7,228,715
NEUQUINA;2007;4,070,317;7,070,340
NEUQUINA;2008;4,254,529;7,253,760
NEUQUINA;2009;3,940,815;6,821,376
NEUQUINA;2010;3,719,418;6,272,714
NEUQUINA;2011;3,575,979;6,219,929
NEUQUINA;2012;3,357,689;6,006,365
NEUQUINA;2013;3,224,919;5,532,057
NEUQUINA;2014;3,230,565;5,587,126
NEUQUINA;2015;3,189,478;5,951,880
NEUQUINA;2016;3,206,090;6,358,222
NEUQUINA;2017;2,982,788;6,409,037
NEUQUINA;2018;3,036,513;6,671,896
NEUQUINA;2019;4,517,679;11,897,376
NOROESTE;1999;262,926;1,289,158
NOROESTE;2000;286,148;1,590,728
NOROESTE;2001;265,655;1,719,813
NOROESTE;2002;288,831;1,863,517
NOROESTE;2003;277,241;1,881,067
NOROESTE;2004;256,488;1,961,765
NOROESTE;2005;230,700;1,662,717
NOROESTE;2006;210,391;1,729,725
NOROESTE;2007;212,304;1,648,571
NOROESTE;2008;214,992;1,742,793
NOROESTE;2009;207,200;1,582,767
NOROESTE;2010;183,876;1,402,335
NOROESTE;2011;160,824;1,167,778
NOROESTE;2012;142,295;1,034,274
NOROESTE;2013;141,887;856,188
NOROESTE;2014;129,862;751,381
NOROESTE;2015;120,767;703,999
NOROESTE;2016;120,884;683,647
NOROESTE;2017;108,553;619,938
NOROESTE;2018;90,783;536,319
NOROESTE;2019;90,542;465,345
CUYANA Y BOLSONES;2008;4,030;24
