anio;unidad;produccion_alta_presion;produccion_baja_presion;produccion_media_presion;produccion_no_convencional;produccion_gas
1999;Mm3;22314303.79521;6825520.33697001;11609195.01219;0;40749019.14437
2000;Mm3;26103003.22926;7703686.61223001;11404874.74481;0;45211564.5863
2001;Mm3;25598776.25175;10130504.4922243;12309286.64547;0;48038567.3894443
2002;Mm3;22417374.03991;8444299.203537;15595426.7111;0;46457099.954547
2003;Mm3;20189909.22722;9317569.29279737;21440262.706;0;50947741.2260174
2004;Mm3;14422205.38967;10868118.15119;26866664.94457;0;52156988.48543
2005;Mm3;13046891.830884;13605170.8010127;24626536.798389;0;51278599.4302857
2006;Mm3;13584542.95916;15396711.3398733;22664519.860535;0;51645774.1595683
2007;Mm3;11638261.37828;20981702.723165;18351188.025835;0;50971152.12728
2008;Mm3;11115594.0780781;24216640.7757355;15156020.4374893;0;50488255.2913029
2009;Mm3;10101169.8893;24435951.4712001;13882128.078;0;48419249.4385001
2010;Mm3;6785266.2177;24827839.5411;15494477.987;0;47107583.7458
2011;Mm3;5503973.475;23977599.5165;16045980.625;0;45527553.6165
2012;Mm3;3622842.531;24724906.3642;15775945.244;0;44123694.1392
2013;Mm3;2581663.534;25681638.809;13444986.434;0;41708288.777
2014;Mm3;2696150.998;27237295.17;11550579.005;0;41484025.173
2015;Mm3;4021761.6605;27260488.9121;11623282.0381;0;42905532.6107
2016;Mm3;5597692.5953;26787132.5203;12603004.1855;0;44987829.3011
2017;Mm3;5763803.784;26051934.1571;12840920.6247;0;44656658.5658
2018;Mm3;6863606.15160001;26626359.9019;13531215.7919;0;47021181.8454
