anio;unidad;produccion_alta_presion;produccion_baja_presion;produccion_media_presion;produccion_no_convencional;produccion_gas
1999;Mm3;5071866.27;1438254.60;2810050.29;0.00;9320171.17
2000;Mm3;5898152.66;1823317.09;2659439.34;0.00;10380909.09
2001;Mm3;6016502.70;3039052.90;2488704.10;0.00;11544259.71
2002;Mm3;5263523.56;1932080.95;3402912.20;0.00;10598516.71
2003;Mm3;4872197.31;1844319.79;4102187.56;0.00;10818704.66
2004;Mm3;3368765.12;2749040.02;6464285.63;0.00;12582090.77
2005;Mm3;2775536.31;2928384.35;6320576.10;0.00;12024496.77
2006;Mm3;3393581.27;3548390.85;5525722.24;0.00;12467694.36
2007;Mm3;2970178.79;4685400.55;4518871.11;0.00;12174450.45
2008;Mm3;2782224.65;5382211.15;4241009.26;0.00;12405445.06
2009;Mm3;2628048.59;6198661.05;3156732.56;0.00;11983442.20
2010;Mm3;2100021.41;6067898.70;3281241.70;0.00;11449161.81
2011;Mm3;1398366.63;5843368.05;3800343.84;0.00;11042078.52
2012;Mm3;1118948.24;5970013.06;3943963.75;0.00;11032925.04
2013;Mm3;699594.91;6076114.22;3465347.68;0.00;10241056.81
2014;Mm3;560931.94;6664485.47;2984371.31;0.00;10209788.72
2015;Mm3;853224.58;6766760.24;2817007.08;0.00;10436991.91
2016;Mm3;975332.87;6757238.61;3244359.35;0.00;10976930.83
2017;Mm3;1838612.76;6096155.90;2943867.43;0.00;10878636.09
2018;Mm3;1227002.60;6709938.57;3305757.36;0.00;11242698.53
2019;Mm3;2440773.20;5947044.68;3396535.04;4885535.63;16669888.55
