anio;unidad;produccion_condensado;produccion_gasolina_estabilizada;produccion_recuperacion_asistida;produccion_primaria;produccion_secundaria;produccion_no_convencional;produccion_petroleo
1999;m3;1879220.4718;921762.104;5354.39;26554404.0802;16267631.005;0;45628372.051
2000;m3;1858519.63596;1073664.864;10074.262;24276364.36904;16070142.68;0;43288765.811
2001;m3;2558985.959;1045547.108;7414.79;25147360.122;15857684.8;0;44616992.779
2002;m3;2560219.741;1074421.105;6851.7;24873383.493;15445705.704;0;43960581.743
2003;m3;2469938.41653;1308387.080911;0.908;23950343.4355402;15228384.542;0;42957054.3829812
2004;m3;2245976.7142;1248511.44502;0;22052765.9902;14885693.35874;0;40432947.50816
2005;m3;2340079.093;1157397.39443;0;20821865.62503;14253123.11485;0;38572465.2273099
2006;m3;2154081.2756;1102205.841;0;20911426.7874001;14178619.87;0;38346333.7740001
2007;m3;2085088.896;1079382.862;0;19793834.5373;14946261.065;0;37904567.3603001
2008;m3;1943237.12569901;1177420.43900385;21331.84085;19613237.6930013;14837718.9337459;0;37592946.0323
2009;m3;1026675.1309;1207906.199;77886.16;19400899.5639999;14526574.178;0;36239941.2318999
2010;m3;964116.2006;1214177.9413;73480.81;18771607.1027;14390033.7653;0;35413415.8199
2011;m3;954410.636199999;1210401.8016;73385.29;17430257.0073;13657823.9139;0;33326278.649
2012;m3;930690.9316;1170918.75;83451.33;17941025.3339;13013432.9248;0;33139519.2703
2013;m3;844064.9203;1128154.8281;101952.249;17309218.8428;13077699.801;0;32461090.6412
2014;m3;902123.0444;1098579.9032;93262.502;16779030.2192;13105259.9662;0;31978255.635
2015;m3;1204989.3157;1094372.344;105990.42;16625964.3401;12960673.5601;0;31991989.9799
2016;m3;1253223.3561;1060171.7188;126569.806;16209610.9534;12118817.5217;0;30768393.356
2017;m3;1259181.5193;1029192.0144;125320.939;15128247.6684;11320528.2826;0;28862470.4237
2018;m3;1319065.7001;1067055.5364;134583.915;15822040.2825001;11129796.6038;0;29472542.0378001
